Date,Model,City,Sales_Units,Inflation_Rate
2022-01-01,Cultus,Islamabad,132,5.49
2022-01-02,Alto,Islamabad,92,17.55
2022-01-03,Alto,Islamabad,122,18.49
2022-01-04,Alto,Islamabad,109,6.21
2022-01-05,Swift,Lahore,126,15.09
2022-01-06,Swift,Lahore,135,13.27
2022-01-07,Swift,Karachi,68,19.57
2022-01-08,Cultus,Islamabad,111,24.55
2022-01-09,Cultus,Islamabad,144,22.22
2022-01-10,Cultus,Karachi,59,17.68
2022-01-11,Swift,Karachi,112,11.98
2022-01-12,Swift,Islamabad,148,18.28
2022-01-13,Cultus,Lahore,137,22.39
2022-01-14,Swift,Islamabad,60,10.96
2022-01-15,Alto,Islamabad,139,22.79
2022-01-16,Cultus,Karachi,88,22.45
2022-01-17,Alto,Karachi,56,14.9
2022-01-18,Alto,Karachi,82,15.8
2022-01-19,Swift,Islamabad,63,8.13
2022-01-20,Swift,Lahore,107,5.59
2022-01-21,Swift,Karachi,90,12.82
2022-01-22,Swift,Lahore,132,12.44
2022-01-23,Alto,Lahore,107,7.72
2022-01-24,Alto,Islamabad,96,22.06
2022-01-25,Swift,Lahore,112,23.31
2022-01-26,Swift,Islamabad,161,17.03
2022-01-27,Alto,Islamabad,173,13.09
2022-01-28,Alto,Islamabad,168,10.01
2022-01-29,Swift,Islamabad,132,11.45
2022-01-30,Alto,Karachi,156,21.87
2022-01-31,Swift,Karachi,69,8.28
2022-02-01,Alto,Karachi,90,10.82
2022-02-02,Alto,Karachi,77,13.17
2022-02-03,Alto,Lahore,132,9.57
2022-02-04,Swift,Lahore,115,10.16
2022-02-05,Alto,Lahore,150,15.96
2022-02-06,Swift,Karachi,170,12.63
2022-02-07,Swift,Islamabad,122,15.69
2022-02-08,Swift,Lahore,101,23.96
2022-02-09,Swift,Islamabad,183,7.89
2022-02-10,Cultus,Islamabad,130,6.39
2022-02-11,Swift,Islamabad,141,23.68
2022-02-12,Cultus,Islamabad,57,13.33
2022-02-13,Swift,Karachi,132,14.21
2022-02-14,Alto,Karachi,94,9.79
2022-02-15,Swift,Islamabad,106,9.48
